nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing,label
284,@AbseloNius-cd4qe,2023-09-14T23:21:55Z,"Ini bukan terobosan, tapi kemaun, keberanian dan tekat yg tulus, karena fakta dilapangan yang terjadi adalah pembiaran oleh para oknum, karena mereka mendapat vy dan setoran dari hasil penjualan tersebut.",terobos kemaun berani tekat tulus fakta lapang biar oknum setor hasil jual,negative
285,@ferryansyah0523,2023-09-19T14:08:32Z,"Memang enak jadi bandar narkoba ,,polisi di indonesia  juga bisa kita jadikan budak narkoba asal duit banyak ..<br> <br>Coba kalian dengar lagu gayus tambunan",bandar narkoba polisi indonesia jadi budak narkoba duit coba dengar lagu gayus tambun,negative
286,@ferlinmogot,2023-09-16T04:59:30Z,Bagus. lanjutkan krn sudah rahasia umum bandar narkoba RI dibekingi banyak oknum polisi. biasanya MO nya kl bandar lamanya tidak bagi hasil dgn oknum polisi maka akan ditangkap dan diganti bandar baru yg mau bagi hasil,bagus lanjut karena rahasia umum bandar narkoba beking oknum polisi mau bandar hasil dengan oknum polisi tangkap ganti bandar hasil,negative
287,@m.nuriansyahamir3983,2023-09-13T03:42:15Z,😢woooooow.. Simua pasti Ada backings bung... Judi online.. Illegal mining illegal logging illegal fishing.. Sampai koruptor smua berjl...dgn fulgarx..,woooooow simua backings judi online illegal mining illegal logging illegal fishing koruptor semua berjl dengan fulgarx,negative
288,@indonesianfood7938,2023-09-15T16:41:36Z,Teddy minahasa apakar curang aparat ini ga metral sama sekali sumpah gw enek sama BNN PENGADILAM DAN POLISI bersumpah gw kaga percaya lagi,teddy minahasa apakar curang aparat tidak metral sumpah enek bnn pengadilam polisi sumpah kaga percaya,negative
289,@MulYana-ky5eq,2023-09-14T16:35:21Z,"Narkoba, perjudian &amp; kejahatan lain nya gx bisa berkurang, penjahat &amp; aparat nya main kucing2 ngan, TOM &amp; JERRY",narkoba judi jahat kurang jahat aparat main kucing ngan tom jerry,negative
290,@hadisyah8493,2023-09-18T17:41:34Z,Ingat tu aparat...uang nya di bayar kan hutang negara..uang sitaan jangan pulak di masuk kin kantong masing2 aparat..bunyi nya aja di sita...padahal aparat sama  gembong narkoba sama aja...,aparat uang bayar hutang negara uang sita pulak kin kantong masing aparat bunyi aja sita aparat gembong narkoba aja,negative
291,@meyhuma2432,2023-09-12T22:47:06Z,Kami Masyarakat KECIL melihat HANCURNYA TAHTAH KRAMA DI KALANGAN GENERASI SAMAN INI DIBUMI TERCINTA DI KARENAKAN ADANYA PEREDARAN &quot; N  A  R  K  O  B  A &quot; Dapatkah diBrantas untuk MENYELAMATKAN GENERASI MASA KINI......?,masyarakat hancur tahtah krama kalang generasi saman bumi cinta karena edar dapat dibrantas selamat generasi,negative
292,@heriamprulloh4280,2023-09-13T14:42:20Z,"Pastilah ada campur tangan oknum di belakangnya,kalo gak ada bekingan petinggi di belakangnya gak masuk akal.mana bisa barang segitu banyak jg uang dg jumlah besar berputar keluar masuk lur negri-indonesia jg seluruh kota&quot; di indonesia bisa terbang dengan aman jg dengan bebasnya...Semoga terungkap semua manusia&quot; yg ada di belakang mereka,jg mudah&quot;an penegak hukum berani menindak bekingan di belakang mereka.kalo bekingan cm sopir becak/sopir taxi gak mungkinlah......",campur tangan oknum belakang gak beking petinggi belakang gak akal barang segitu juga uang dengan putar lur negri indonesia juga kota indonesia terbang aman juga bebas moga ungkap manusia juga mudah tegak hukum berani tindak beking beking sopir becak sopir taxi gak mungkin,negative
293,@didiksoepriadi1236,2023-09-13T09:29:59Z,MANTAP Ndan....APLUSSS...KINERJA YG BAIK CUKUP MEMUASKAN.....tapi coba usut KASUS KANJURUHAN MALANG......MOHON IJIN ....agar kami bisa MENDENGAR LANGSUNG DARI SUMBERNYA .....,mantap ndan aplusss kerja muas coba usut kanjuruhan malang ijin dengar sumber,positive
294,@Teh_YanTiCianjur2,2023-09-15T21:27:53Z,"Langsung aj pk polisi itu mereka di basmi dor,,dor.skrg emak&quot;aj Pd nekad jdi gembong demi gaya hidup",polisi basmi dor dor sekarang emak nekad jadi gembong gaya hidup,negative
295,@riyosori6931,2023-09-16T16:45:44Z,BNN harus tingkatkan lagi Gunakan Alat alat lebih Canggih Lagi Supaya dengan Cepat untuk Mengetahui Dari mana  Asal Narkoba dan kemana Perjalanannya harus dengan cepat Penangkapan nya,bnn tingkat alat alat canggih cepat narkoba mana jalan cepat tangkap,negative
296,@adaabie5015,2023-09-13T03:05:26Z,"Harus dibahas agar di Indonesia diterapkan hukum Islam karena terbukti secara otentik bisa menciptakan keamanan paling baik di dunia. Jd buat pelaku2 SPT ini sidang sebentar langsung hukum mati, selesai..",bahas indonesia terap hukum islam bukti otentik cipta aman dunia pelaku spt sidang hukum mati selesai,negative
297,@majiddairoby3666,2023-09-20T10:47:29Z,"gimana lagi yg merusak ttp ada,tapi diusahakan di perkecil,dak penegak hukum harus bersih ,semoga hukum kita dpt di percaya masyarakat kecil,",gimana rusak ttp usaha kecil dak tegak hukum bersih moga hukum dpt percaya masyarakat,negative
298,@user-gp6gx8xq1b,2023-09-16T04:19:44Z,Jangan sampai pihak kepolisian terlena oleh rayuan bandar narkoba sehingga mau jadi kurir narkoba contoh ada oknum polisi yang jadi kurir dan informan bandar narkoba hingga dia aman dari pihak berwajib,polisi lena rayu bandar narkoba kurir narkoba contoh oknum polisi kurir informan bandar narkoba aman wajib,positive
299,@debbysusandri2959,2023-09-12T23:48:24Z,Apreasi utk Bareskrim  Polri Dan polres barito utara... Jgn sampai Di tingkat pengadilan.. Jadi gugur..!,apreasi untuk bareskrim polri polres barito utara jangan tingkat adil gugur,positive
300,@imran-cs7et,2023-09-16T12:52:09Z,Utk penanganan bandar narkoba kt tiru presiden Philipina jgn hiraukan isu HAM utk kasus ini krn narkoba bikin rusak generasi muda.....,untuk tangan bandar narkoba tiru presiden philipina jangan hirau isu ham untuk karena narkoba bikin rusak generasi muda,negative
301,@pujowibowo7381,2023-09-18T12:09:04Z,Apabila semua pelaku tidak di hukum mati berarti masih ada penegak hukum yg melindung pengedar jaringan internasional dan Indonesia akan hancur di masa depan .,laku hukum mati tegak hukum lindung peedar jaring internasional indonesia hancur,negative
302,@burhanudinksp9070,2023-09-16T19:39:25Z,Ini kan hanya peralihan saja&#39;entar saja udah bebas &#39;&#39;kalo memang benar terbukti orang ini.pedagang sabu2 dannheroin &#39;tidak ada ampun&#39;setelah ingkerak&#39;pengadilan yg mrmutuskan pidana mati&#39;&#39;2x30 hari harus di esikusi mati&#39;terus ditembak saja buat rusak  generasi muda dan bangsa indonesia &#39;yg jadi polisi banyak dinpecat&#39;yg jadi T.N.I.Juga banyak di pecat &#39;karena  terlibat perdagangan  dabu2.ini semua sengaja fi buat begitu oleh orang2 partai komunis tiongkok.&#39;dgn lemah bangsa 2 di duniaini.&#39;mereka orang2 cina komunis tiongkok lebih mudah untuk menyerbu bangsa&#39;ini.wadpadalah  indonesia&#39;dgn perogeres cina  komunis tiongkok&#39;mereka ingin buat pemuda2 indonesia semua lemah dan lengah..ok.,alih entar sudah bebas bukti dagang sabu dannheroin ampun ingkerak adil mrmutuskan pidana mati esikusi mati tembak rusak generasi muda bangsa indonesia polisi dinpecat pecat libat dagang dabu sengaja orang partai komunis tiongkok dengan lemah bangsa duniaini orang cina komunis tiongkok mudah serbu bangsa wadpadalah indonesia dengan perogeres cina komunis tiongkok pemuda indonesia lemah lengah,negative
303,@adiniptansaputra3518,2023-09-16T05:20:42Z,Percuma sih klo cuman d penjara doang mreka g akn kapok buktinya masih bisa ngendaliin dri dlm lapas d tambah ada ktrlibatan oknum trtntu harus ny stiap pengedar dan kurir ny itu d sita aset ny trus d hukum mati atau d tmbak d tmpat klo cuman d penjara doang smpe kpn pun g akn ada hbis ny krna mreka brpikir hukuman ny paling cuman pnjara doang klo mau d penjara kasih penjara yg super exstrim ketat pengawasan  dan aparat ny g mempan d sogok baru ada epek jera <br><br><br>Terimakasih🙏,cuman penjara doang mreka akn kapok bukti ngendaliin dalam lapas ktrlibatan oknum tentu stiap peedar kurir sita aset terus hukum mati tmbak tmpat cuman penjara doang sampai kapan akn hbis karena mreka brpikir hukum cuman pnjara doang penjara kasih penjara super exstrim ketat awas aparat mempan sogok epek jera terimakasih,negative
304,@agussuswanto18,2023-09-16T04:03:03Z,"Habis di sita trus masuk ke mana ya, wkwkwkwkwkwkwkwk, masyarakat yang pintar pasti dah tahu ke mana barang sitaan, tapi kalo yang masih lugu pasti bilang masuk kas NEGARA wkwkwkwkwkwkwkwk",habis sita terus wkwkwkwkwkwkwkwk masyarakat pintar barang sita lugu bilang kas negara wkwkwkwkwkwkwkwk,negative
305,@almanaal5988,2023-09-13T07:03:34Z,"Kalau ini saya setuju mantap polisi, cuma soal penangkapan tindak tegas kepada masyarakat demo demi hak milik khusus masyarakat Rempang Indonesia menjerit",tuju mantap polisi tangkap tindak masyarakat demo hak milik masyarakat rempang indonesia jerit,negative
306,@adiemasagungnugroho,2023-09-18T01:25:35Z,"Apakah mrk ada kaitannya dgn ex oknum berwajib yg di hukum seumur hidup ???, koq yaa ttg masalah narkoba ngga hilang² di NKRI dan pastinya ada kaitan dgn negara² asing penjajah yg pelihara utk meng-Amburadul kan NKRI spt Uni Soviet + Yugo-Slavia + Negara² Balkan.",mereka kait dengan oknum wajib hukum umur hidup koq yaa ttg narkoba hilang nkri pasti kait dengan negara asing jajah pelihara untuk meng amburadul nkri spt uni soviet yugo slavia negara bal,negative
307,@karismaasep6833,2023-09-13T06:57:41Z,ini.pasti ulah oknum penjahat negara...coba kita awam .bawa sabu gak bakal lolos....di jamin....cara pikir sederhana......apratur negara.ini  katanya  ngaku oknuum..bikin ulah..di pelabuhan karna apratur ngera ini ..sangsi...gak ada kecuali ketauan rakyat itu paling yang ketuan di hukum..kata ...nya  hahaahahah llihat aja udah jelas oknum jedral bejat  ee ada diskon  hukman hahahah kepetusan gak sepakat dengan rakyat itulah....pusing......,ulah oknum jahat negara coba awam bawa sabu gak lolos jamin pikir sederhana apratur negara ngaku oknuum bikin ulah labuh karena apratur ngera sangsi gak kecuali tau rakyat ketu hukum hahaahahah llihat aja sudah oknum jedral bejat diskon hukman hahahah petus gak sepakat rakyat pusing,negative
308,@yustamiyustami5348,2023-09-16T10:12:35Z,Bos narkoba peralatan yang lebih canggih dan ber ubah ubah  setiap waktu semakin dikejar makin meraja lela,bos narkoba alat canggih ber ubah ubah waktu kejar raja lela,negative
309,@DenBagoes-dt6tf,2023-09-13T18:11:19Z,"Yang ditunggup proses hukum yg sesungguhnya yaitu dengan menghikum pelaku yg seberat beratnya.<br>Jangan ada lagi dihukum hanya dengan hukuman Rehabiltasi, ini<br>hukuman yg memuak kan.",ditunggup proses hukum sungguh hukum laku berat berat hukum hukum rehabiltasi inihukuman muak,negative
310,@tiahtiah213,2023-09-17T04:49:53Z,"Semoga negara kita punya polisi yng hebat2  jangan terjadi lagi salah sasaran tukang bangunan d matiin, blm tentu salah, siapa yng tanggung jawab anak nya yatim",moga negara polisi yng hebat salah sasar tukang bangun matiin blm salah yng tanggung anak yatim,negative
311,@ahmadsubandi202,2023-09-19T02:42:21Z,"Tmvak mati ,,banyak generasi rusak lihat negara lain yg maju ,,undang² buang yg sifatnya kasihan berani berbuat Bernai menerima resiko akibatnya,,omnibuslow penghianat bangsa",tmvak mati generasi rusak negara maju undang buang sifat kasihan berani buat bernai terima resiko akibat omnibuslow penghianat bangsa,negative
312,@mamahbimachannel1572,2023-09-14T07:50:46Z,"Gila uang nya bnyak bnget,pntsn apart2 bnyak yg brsengkongkol sm bos2 narkoba trnyata cuan2 nya gmpng d dapat ,dn hasil yg memuaskn gk capek2 krja otak aj hrus pintar",gila uang banyak bnget pntsn apart banyak brsengkongkol bos narkoba trnyata cuan gmpng dan hasil memuaskn tidak capek krja otak hrus pintar,negative
313,@odyselong6100,2023-09-15T03:19:11Z,"Ini kemungkinan jenderal jenderal polisi ikut bekingi, tak mungkin leluasa bisnis ini tak ada yg bekingi...bisnis jenderal polisi Teddy minahasa",jenderal jenderal polisi beking leluasa bisnis beking bisnis jenderal polisi teddy minahasa,negative
314,@hendro_jc,2023-09-13T03:10:23Z,"Tidak jauh dari diskotik sebenarnya peredaran narkoba itu,coba di selidiki diskotik diskotik besar diindonesia pasti semakin banyak pihak kepolisian bisa menangkap bandar bandar narkoba..",diskotik edar narkoba coba selidik diskotik diskotik indonesia polisi tangkap bandar bandar narkoba,negative
315,@hengkidjapar8937,2023-09-13T02:48:04Z,Percuma ditangkap<br>Bila aparat hukum kita masih mau diajak main<br>Makanya Narkoba tdk ada habis2 nya.<br>Intinya penjara tidak bikin pelaku bertobat.<br>Justru jadi ajang buat mencari anggota baru.,ditangkapbila aparat hukum ajak mainmaka narkoba tidak habis inti penjara bikin laku tobat ajang cari anggota,negative
316,@muh.asbulsewang3017,2023-09-13T05:00:58Z,"Menghukum mati pengedar narkoba jaringan internasional tidak bisa menggunakan kata kemanusiaan, pertanyaannya.apakah mereka pengedar narkoba punya rasa kemanusiaan,mereka meracuni otak generasi muda dengan narkoba tanpa rasa kemanusiaan.mereka tidak peduli terhadap masa depan generasi muda yang mereka sudah racuni otaknya dengan narkoba yang mereka jual.mereka harus di hukum MATI!",hukum mati peedar narkoba jaring internasional manusia peedar narkoba manusia racun otak generasi muda narkoba manusia peduli generasi muda racun otak narkoba jual hukum mati,negative
317,@dedisaprudin6938,2023-09-18T04:56:36Z,Kalau pelaku korupsi di perlakukan sama dgn...penanganan perkara narkoba mantap langsung sita aset hukumanan mati para pelakunya,laku korupsi laku dengan tangan perkara narkoba mantap sita aset hukumanan mati laku,negative
318,@atfachannel600,2023-09-18T14:47:09Z,"Percumanya itu toh juga tangkapan dapat dijual.<br>Intinya pelaku org punya pengaruh dan pemegang hukum,tumbal adalah masyarakat bodoh dan anak-anak mereka yg bersekolah.",percuma tangkap jual inti laku orang pengaruh pegang hukum tumbal masyarakat bodoh anak anak sekolah,negative
319,@harrysatriaazza304,2023-09-13T08:49:29Z,Yg jd jaringan narkoba termasuk polisi😂😂😂 bubarin aja polisinya ganti ma Hansip dijamin kinerja Hansip lbh gacor😅😅😅,jaring narkoba polisi bubarin aja polisi ganti hansip jamin kerja hansip lbh gacor,negative
320,@gatotsuyudono3868,2023-09-17T13:08:56Z,Salut buat POLRI tangkap gebuk gruduk langsung tembak klau UNDANG2 memperbolehkan heee mana tu dosen UI Markonah kok diam sih tembok door pantatnya dooor,salut polri tangkap gebuk gruduk tembak undang boleh dosen markonah diam tembok pantat,positive
321,@ipamxxx8531,2023-09-17T05:15:39Z,Trus BNN kerjanya apa? Nangkapi pengedar kelas cacing?? Trus barang bukti mutar lagi...?? 😂😂😂,terus bnn kerja nangkapi peedar kelas cacing terus barang bukti mutar,negative
322,@fixer3294,2023-09-13T06:06:52Z,"Sdh sering menangkap paus, tp narko ttp jaya beredar. Dunia panggung sandirawa.",sudah tangkap paus tapi narko ttp jaya edar dunia panggung sandirawa,negative
323,@nirmaayu177,2023-09-16T22:13:06Z,Aparat semua harus sadar bahwa menangkap mereka berarti menyelamatkan anak cucu kita semua  termasuk anak cucu nya aparat juga makanya jangan kasi ampun <br>Bravo POLRI🇮🇩,aparat sadar tangkap selamat anak cucu anak cucu aparat kasi ampun bravo polri,positive
324,@ronnyandres9294,2023-09-19T05:11:47Z,"Discotique, lounge dan ktv masih beredar narkoba , kenapa masih dibiarkan bahkan polisi tutup mata ... Tumpas habis narkoba di manapun dan apapun bentuknya serta siapapun pelakunya !! N",discotique lounge ktv edar narkoba biar polisi tutup tumpas habis narkoba mana apa bentuk laku,negative
325,@syarlidwi6801,2023-09-19T03:11:18Z,"Usut tuntas dong pak Kapolri ,,,bila ada anggota polri yg terlibat ,,hukuman mati lah pantas utk mereka ,,,alasan ,mereka mengerti hukum ,,merusak generasi muda utk jangka panjang ,,menghianati institusi,,,dan merugikan bagi bangsa ini ,",usut tuntas kapolri anggota polri libat hukum mati untuk alas erti hukum rusak generasi muda untuk jangka menghianati institusi rugi bangsa,negative
326,@user-ug5fe9xo2l,2023-09-17T09:16:14Z,Ya karena kerja sama dgn malysia dn tailand coba kow sendirian ...mana beraniiiii mana mauuuuu....cuman Krena malu dan jaga image aja ke Malaysia ma ke tailand makanya jaringan laba2 di negri ini bisa digulung...kaya gak tau aj kan udah rahasia umum gimana prilaku oknum2 polisi wong banyakan oknumnya kan di instasi itu dr PD yg loyal bekerja...duit gede enak ...siapa yg gak mau...,dengan malysia dan tailand coba kow beraniiiii mauuuuu cuman krena malu jaga image aja malaysia tailand jaring laba negri gulung kaya gak tau sudah rahasia umum gimana prilaku oknum polisi banyak oknum instasi loyal duit gede gak,negative
327,@unyiel88oke21,2023-09-13T02:36:13Z,"Bener sekarang banyak wanita kesepian,,suami ya pada di penjara,istri biasa ekonomi enak ,skrng ambruk ke bawah nanti serong kiri serong kanan,ini karena ada intruksi pak presiden kemarin jdi makin gencar,kalangan artis pak ,dan pejabat ,semoga bergegas ke sana lebih aktif",bener wanita sepi suami penjara istri ekonomi sekarang ambruk serong kiri serong kanan intruksi presiden kemarin jadi gencar kalang artis jabat moga gegas aktif,negative
328,@hutzonsiahaan6373,2023-09-18T13:17:16Z,"mohon usut dalang d backingnya para pngak hukum jngn hny  sbts ditangkap,kmn arah uang d ast yng disita tsb pak pol???",usut dalang backing pngak hukum jangan hny sbts tangkap kmn arah uang ast yng sita sebut pol,negative
329,@mawarmerahmawarmerah6631,2023-09-18T05:48:57Z,"Hukum mati semua para pelaku pengedar narkoba ( jaringan narkoba) karena telah merusak generasi muda penerus bangsa,gegara barang haram ini....<br>Mereka hanya ingin mendapatkan uang dengan secara instan, tidak memikirkan dampaknya terhadap orang yg memakainya....<br>Sekarang ini tidak hanya di Indonesia jaringan ini beraksi,disemua negara pun sama...",hukum mati laku peedar narkoba jaring narkoba rusak generasi muda terus bangsa gegara barang haram uang instan pikir dampak maka indonesia jaring aksi semua negara,negative
330,@srihariyanik1178,2023-09-15T10:22:29Z,MANTAP POLRI  SEJATI KITA MISKINKAN DAN DISITA ASSET OKNUM BANDAR2 NARKOBA SEKALIAN OKNUM BACKINGNYA GBU🤝👍👍👍👍😍😍😗😗💖💖💪💪🇮🇩🌏,mantap polri sejati miskin sita asset oknum bandar narkoba oknum backing gbu,positive
331,@suhudannasution5090,2023-09-13T09:16:52Z,"Wajahnya semua seperti kadroon yah matanya sipit sebagian Melayu dungu, haaa memang orang Yaman orang arab ini para habib habib. Ini nakal hik hik kalian pendatang meracuni anak bangsa, gak kayak keturunan China. Semua pada baik baik santun toleransi membawa kedamaian, ,",wajah kadroon yah mata sipit melayu dungu haaa yaman arab habib habib nakal hik hik datang racun anak bangsa gak kayak turun china santun toleransi bawa damai,negative
332,@Allen_Radjagoekgoek,2023-09-13T06:23:18Z,Yg penting endingnya...walaupun sebanyak apa yg di tangkap narkoba dan  pelakunya..barang bukti apakah bisa aman sampai di hanguskan...penangkqpqn adalah masih proses awal...yg penting  sampai dimana realisasi hukuman..bukankah hukum itu bisa di beli atau tidak.,ending tangkap narkoba laku barang bukti aman hangus penangkqpqn proses mana realisasi hukum hukum beli,negative
333,@nartosetiadji4314,2023-09-13T08:29:53Z,SMUA YG TERTANGKAP HRS DIHUKUM MATI. JAKSA2 KOMITMEN PARA BANDAR NARKOBA HRS DIHUKUM MATI. JGN SMPE LOLOS DR HUKUMAN MATI.,semua tangkap harus hukum mati jaksa komitmen bandar narkoba harus hukum mati jangan sampai lolos hukum mati,negative
334,@user-fw1pq7hi7o,2023-09-12T23:57:04Z,"Apresiasi buat jajaran kepolisian,mhn di awasi hasil barang sitaan biar tdk di jual lagi oleh oknum yg tdk bertanggung jawab 🙏",apresiasi jajar polisi mhn awas hasil barang sita biar tidak jual oknum tidak tanggung,positive
335,@dwiwahyujatmiko8854,2023-09-16T22:33:11Z,Perusak GENDERASI anak bangsa harus di hukum mati langsung jangan polisi aja yg berantas narkoba intuisi lain harus iku berantas khususnya TNI AU AD AL biar gak pancet AE oknume iku iku AE pabrik di Indonesia sekarang ijinya satu dalamnya terdapat berbagai macam jenis kegiatan,usak genderasi anak bangsa hukum mati polisi aja berantas narkoba intuisi iku berantas tni ada biar gak pancet oknume iku iku pabrik indonesia iji dalam jenis giat,negative
336,@jeffmanullang6659,2023-09-13T09:22:58Z,"begitu mudah nya dapat duit ya,,,,,gua dri pagi ampe malam smpe keringatan cuman dapat duit 100 ribu doang,,,,",mudah duit saya pagi ampe malam sampai keringat cuman duit ribu doang,negative
337,@ahmadrozikin9327,2023-09-18T16:01:02Z,Bb nya Larinya Kemana Tuch...😂😂😂 Terus Apa Kabar Dg Aset Tessy Minahasil...Di Sitakah Jg...Apa Jngan2 Aman Karena Dia Kawanya...😂😂😂,lari mana tuch kabar dengan aset tessy minahasil sita juga jngan aman kawa,negative
338,@bocilgg1078,2023-09-18T13:14:27Z,"Mantap gan,cepat banget ,gercep. Tes tes ... Harun mas mas 😁 , apa nunggu 3 lebaran lagi.",mantap gan cepat banget gercep tes tes harun mas mas nunggu lebaran,negative
339,@wahyuwahyudi2645,2023-09-18T03:07:18Z,hrs nya perbuatan apapun yg langgar hukum apalagi narkoba dipublikasikan di media wajahnya asalnya u.efek jera jg masyarakat semua tau siapa mrk. abaikan etika uu apapun. kl tdk mrk akan ulang&quot; lg.,harus buat apa langgar hukum narkoba publikasi media wajah asal efek jera juga masyarakat tau mereka abai etika apa tidak mereka ulang lagi,negative
340,@tuturkentoro5536,2023-09-13T07:03:04Z,"Alhamdulillah,,,, terimakasih Ya Allah engkau telah mempermudah Kepada bapak2 polisi untuk mengungkap jaringan narkoba,,semoga bapak2 polisi Indonesia sehat selalu",alhamdulillah terimakasih engkau mudah bapak polisi ungkap jaring narkoba moga bapak polisi indonesia sehat,positive
341,@nambela402,2023-09-21T17:23:38Z,"PELAKU2 NARKOBA KELAS KAKAP PASTI SEMUANYA RAS CHINA WALAU BANYAK PELAKU2 NARKOBA KELAS DUNIA ETNIS ATAU RAS CHINA YG DIKEMUDIAN HARI MENJADI KONGLOMERAT DIINDONESIA KRN TDK PERNAH TERTANGKAP,KMUDIAN STELAH MENDAPATKN MODAL RATUSAN MILYAR MEREKA MENJADI PENGUSAHA2 DIINDONESIA..!!",pelaku narkoba kelas kakap ras china pelaku narkoba kelas dunia etnis ras china kemudi konglomerat indonesia karena tidak tangkap kemudian stelah mendapatkn modal ratus milyar pengusaha indonesia,negative
342,@justmine5889,2023-09-13T10:14:48Z,Oknum2 perusak bangsa satu persatu mulai runtuh kira2 ada oknum aparat gk ni yng terlibat?,oknum usak bangsa satu runtuh kira oknum aparat tidak yng libat,negative
343,@rhakim8644,2023-09-13T01:07:18Z,"Biang kerusakan di indonesia rata rata mata sipit tampang dongo mereka itu bos narkoba ,judi ,zina dan minuman mabok",biang rusa indonesia rata rata sipit tampang dongo bos narkoba judi zina minum mabok,negative
344,@putriinrh493,2023-09-13T03:45:55Z,Ala ala... Rakyat  wes gak  percoyo hukom  nk wong  mesken  sala titik  lasong masok penjara  nk wong soge duwite akeh opo mane penjabat  sidange mbulet  gak mari mari,ala ala rakyat wes gak percoyo hukum mesken sala titik lasong masok penjara soge duwite akeh opo mane jabat sidange mbulet gak mari mari,negative
345,@robsonhoms2798,2023-09-17T01:20:17Z,"Terima kasih pada pemerintah Thailand &amp; Malaysia ... 👏👏👏<br><br>Kapan saya bisa bekerja dengan layak di Indonesia ini?, supaya tidak menjadi orang orang seperti itu dikarenakan sulitnya mencari lapangan pekerjaan<br><br>Kebanggaan saya terhadap polisi terletak pada Kapolri pertama, itu yg saya hormati &amp; saya kagumi terhadap institusi Polri selama saya hidup, selain itu, semua Kapolri yg ada &amp; sebelumnya saya anggap sampah, bila seandainya dia tidak ada, mungkin nama Polri sudah tidak bisa terselamatkan lagi di Indonesia ini",terima kasih perintah thailand malaysia layak indonesia sulit cari lapang pekerjaankebanggaan polisi letak kapolri hormat kagum institusi polri hidup kapolri anggap sampah anda nama polri selamat indonesia,positive
346,@gtriwhy,2023-09-15T11:39:38Z,"Selama bandar/pelaku g lsg dieksekusi mati dan harta benda g dirampas negara, narkoba akan terus merajalela",bandar laku lsg eksekusi mati harta benda rampas negara narkoba rajalela,negative
347,@abdulganj7698,2023-09-19T18:18:53Z,Jaringan narkoba terbesar di indonesia.asal darima .uwang sebanjak 10.terlyun dariasal uwang itu darimana .bisa citak sediri ada paberik mesinsediri.tolong cek dulu apa hasil yuwal narkoba. Oke,jaring narkoba besar indonesia darima uwang sebanjak terlyun dariasal uwang darimana citak diri paberik mesinsediri tolong cek hasil yuwal narkoba oke,negative
348,@arissofianto3715,2023-09-13T00:15:35Z,"koruptor coy,,,hukum mati aku sebagai rakyat baru puas,,, ada apa kok tidak ada yg berani  kasi hukuman mati pada koruptor",koruptor coy hukum mati rakyat puas berani kasi hukum mati koruptor,negative
349,@CantikaChairunnisa-jw6qr,2023-09-13T01:33:25Z,iya 10 triliun di nampakkan polisi BNN lebih nya di bagi bagi tu...mungkin ni si bandarnya gak transfer BNN sama petinggi2 polosi makanya tu di tangkap...gw yakin BNN tau semua bandar internasional tapi karna korup di kasi uwang sogok jadi jarang tu bandar2 internasional di tangkap yg di habisitu cuma pemakai...,iya triliun nampakkan polisi bnn bandar gak transfer bnn petinggi polos tangkap bnn tau bandar internasional karena korup kasi uwang sogok jarang bandar internasional tangkap habisitu pakai,negative
350,@April-oy4pw,2023-09-13T05:56:55Z,Didlm aja katanya peredaran gencar apa lg di luar.... Maknai aja lura dan dlm...!!!! Hal ini di ungkap cerita2 yg prnh ada di dlm,didlm aja edar gencar lagi makna aja lura dalam cerita prnh dalam,negative
351,@kunangchannel5767,2023-09-12T23:05:15Z,"Slrh yg terlibat beredarnya narkoba hrs benar2 dibasmi krn tlh menelan byk korban merusak moral, mental dan akhlak generasi muda penerus bangsa",slrh libat edar narkoba harus benar basmi karena tlh tel byk korban rusak moral mental akhlak generasi muda terus bangsa,negative
352,@imamwahyudi6528,2023-09-13T01:22:43Z,Narkoba gak bakalan hilang atau lenyap di NKRI tercinta ini klo para penegak hukumnya gak di tes urine semuanya tanpa terkecuali,narkoba gak hilang lenyap nkri cinta tegak hukum gak tes urine kecuali,negative
353,@jrd-8378,2023-09-19T06:51:22Z,Gaji dan Tunjangan POLRI wajib dinaikan.<br>Agar terhindar dari Sogok menyogok....<br><br>Polri sekarang memang sudah berubah.<br>memang luar biasa kinarja Polri.,gaji tunjang polri wajib naik hindar sogok sogok polri ubah kinarja polri,positive
354,@ekokurniawan6574,2023-09-13T03:36:48Z,"Di dalam penjara mereka masih bisa berbisnis narkoba , Polisinya bisnis , sipir penjaranya bisnis , hakimnya bisnis. Rezim ini REZIM SANDIWARA....",penjara bisnis narkoba polisi bisnis sipir penjara bisnis hakim bisnis rezim rezim sandiwara,negative
355,@paulbuulolo5730,2023-09-15T22:36:31Z,"Herannya kenapa sampai sekarang sindikat Narkoba banyak di RI.<br>Kenapa tidak pernah berhenti??<br>Aparat dan Tuhanlah yg tau.<br>😅<br><br>Sana sini ditangkapin para pengedar, agen Narkoba.<br>Di dalam penjara krn agen bnyak uang dpt kamar VIP, bberapa bulan di Sel eh udh bebas.<br>Rahasia umum sih ini yg dikasih tau org yg pernah masuk sel lalu bebas😂😂",heran sindikat narkoba henti aparat tuhan tau ditangkapin peedar agen narkoba penjara karena agen banyak uang dpt kamar vip bberapa sel sudah bebas rahasia umum kasih tau orang sel bebas,negative
