nama_akun,tanggal_komentar,komentar,komentar_preprocessing,label
detikTravel,2023-09-13T08:38:55Z,Persiapan G20 Menko Luhut Summit bertanya kepada kantor sekolah Bali wfh,siap   menko luhut summit kantor sekolah bal wfh,neutral
Johnss___,2023-09-16T14:42:26Z,Pengawal Manajemen 20 Bali Korlantas Polri Mempersiapkan Ratusan Kendaraan Listrik Mengawasi Implementasi G20 Summit Bali Meningkatkan Ekonomi Negara,awal manajemen  bal korlantas polri ratus kendara listrik awas implementasi   summit bal tingkat ekonomi negara,neutral
NyiMasLombok,2023-09-13T04:01:01Z,"Meninjau Tahura Ngurah Rai Rai Raya Hutan Taman Denpasar Tahura Kota Satu Tempat Seri G20 Bali KTT 2022 Bulan depan Tahura, juga pembibitan menghasilkan 6 juta bibit pohon",tinjau tahura ngurah rai rai raya hutan taman denpasar tahura kota seri   bal k     tahura bibit hasil  juta bibit pohon,neutral
diiddaaa,2023-09-17T13:11:07Z,Memegang Pertemuan Puncak G20 Negara Bagian Bali November 2022 Presiden Lebih Dekat Joko Widodo Kabinet Pertemuan Dipimpin Menyelesaikan Berbagai Persiapan G20 KTT Merdeka Palace Jakarta,pegang temu puncak   negara bal november     presiden joko widodo kabinet temu pimpin selesai siap   k merdeka palace jakarta,neutral
NusdalE,2023-09-13T01:40:23Z,Pemerintah Memastikan Hotel Bali Siap Selamat Datang G20 Jambi G20Indonesia RecoverTogerCoverstronger G20Indonesia2022 Groupoftwentyindonesia,perintah hotel bal selamat   jambi   recovertogercoverstronger       groupoftwentyindonesia,positive
fathannibos,2023-09-13T08:56:02Z,"Joss semakin nyaman, delegasi g20 summit bali sukses aman g20indonesia recovertogercoverstronger g20indonesia2022 groupoftwentyindonesia",joss nyaman delegasi   summit bal sukses aman   recovertogercoverstronger       groupoftwentyindonesia,positive
Tahede55,2023-09-15T19:37:49Z,Pemerintah Memastikan Hotel Bali Ready Sambuy Ktt G20 Indonesia Ready Host G20 G20Indonesia Recovertogerrecoverstronger G20Indonesia2022 Gorontalo Groupoftwentyindonesia,perintah hotel bal ready sambuy k   indonesia ready host     recovertogerrecoverstronger       gorontalo groupoftwentyindonesia,positive
Tahede55,2023-09-16T02:21:05Z,Pemerintah Memastikan Hotel Bali Ready Sambuy Ktt G20 Indonesia Ready Host G20 G20Indonesia Recovertogerrecoverstronger G20Indonesia2022 Gorontalo Groupoftwentyindonesia,perintah hotel bal ready sambuy k   indonesia ready host     recovertogerrecoverstronger       gorontalo groupoftwentyindonesia,positive
AryPrasetyo_85,2023-09-13T03:00:33Z,"Dukungan Implementasi Keberhasilan G20 Summit Bali, Mendukung Infrastruktur Telekomunikasi Meningkatkan Kecepatan 4G Fasilitasi Internet Seluler, Ekspansi Pengaturan Jaringan 5G",dukung implementasi hasil   summit bal dukung infrastruktur telekomunikasi tingkat cepat tidak fasilitas internet seluler ekspansi atur jaring tidak,positive
jawapos,2023-09-18T03:46:30Z,G20 Summit Bali Luhut meminta Bali mendaftar sekolah WFH online,  summit bal luhut bal daftar sekolah wfh online,neutral
mang_ib,2023-09-16T23:27:33Z,Presiden Returned Rapat Finalisasi Persiapan KTT G20 Diadakan Puncak Pertemuan G20 Negara Bali November 2022 Menjadi Lebih Dekat,presiden returned rapat final siap k   ada puncak temu   negara bal november    ,neutral
detikcom_bali,2023-09-15T22:45:48Z,DEPAN KTT G20 Raids Ratusan Kendaraan Sanur Area,k   raids ratus kendara sanur area,neutral
DamaiSulbar,2023-09-18T05:24:18Z,Nabi Diundang Perubahan Sosial Buruk Baik Indonesia Bali KTT Damai Lawanterorisme Tangkalradicalisme Merdeka Pancasilardi Nkrihargamati Malaqbi Melletediangangan Manakarra Sulbarinfo Sulbarmoderat Polewalimandar Majene MamuJu,nabi undang ubah sosial buruk indonesia bal k damai lawanterorisme tangkalradicalisme merdeka pancasilardi nkrihargamati malaqbi melletediangangan manakarra sulbarinfo sulbarmoderat polewalimandar majene mamuju,positive
m_radarnew,2023-09-18T16:01:02Z,Presiden Republic Indonesia Meninjau Nomor Fasilitas Dukungan Lengkap G20 Bali 2022 KTT.,presiden republic indonesia tinjau nomor fasilitas dukung lengkap   bal     k,positive
Cah_Beler,2023-09-17T02:17:27Z,Menteri Komunikasi Informasi Mengatakan Pusat Media Persiapan Kapasitas KTT G20 1 500 Pusat Media Terletak Bali International Convention Center BICC Hotel Westin Nusa Dua Bali Akan Beroperasi Mulai 13 November 2022,menteri komunikasi informasi pusat media siap kapasitas k       pusat media letak bal international convention center bicc hotel westin nusa bal operasi  november    ,negative
CEOfficialID,2023-09-13T05:31:28Z,Departemen KTT G20 Kementerian KTT Memperkuat Rabies Control Bali,departemen k   menteri k kuat rabies control bal,neutral
Gajah_Mada01,2023-09-13T01:47:04Z,1 337 Jurnalis 215 Media Asing Lokal Liputan Terdaftar G20 KTT Konferensi Tingkat Tinggi Bali Provinsi 15 November 2022 G20 Situs Web,    jurnalis    media asing lokal liput daftar   k konferensi tingkat bal provinsi  november       situs web,positive
Kemhan_RI,2023-09-17T14:51:23Z,Kesiapan Mulai Bandara Ngurah Rai Melayani Penerbangan Kesiapan Perhotelan Akomodasi Tempat Tinggal Delegasi Menyediakan Unit Transportasi Listrik Mempopori Energi Hijau Energi Terbarukan Kementerian Pertahanan Kementerian Pertahanan,kesiap bandara ngurah rai layan terbang kesiap hotel akomodasi tinggal delegasi sedia unit transportasi listrik popor energi hijau energi baru menteri tahan menteri tahan,negative
jokowi,2023-09-16T18:48:30Z,"Meninjau Tahura Ngurah Rai Rai Raya Hutan Taman Denpasar Tahura Kota Satu Tempat Seri G20 Bali KTT 2022 Bulan depan Tahura, juga pembibitan menghasilkan 6 juta bibit pohon",tinjau tahura ngurah rai rai raya hutan taman denpasar tahura kota seri   bal k     tahura bibit hasil  juta bibit pohon,neutral
NAWACIT4,2023-09-19T10:02:25Z,Menkominfo 1 337 Jurnalis Terdaftar Sampul G20 Summit Bali,menkominfo     jurnalis daftar sampul   summit bal,neutral
RadenSumbu,2023-09-14T14:50:55Z,Mari Dukung Sukses Indonesia G20 Summit Bali Gorontalo G20Indonesia Recovertogetherrecoverstronger G20Indonesia2022 Groupoftwentyindonesia,mari dukung sukses indonesia   summit bal gorontalo   recovertogetherrecoverstronger       groupoftwentyindonesia,neutral
garuda080,2023-09-19T18:18:53Z,"Memegang G20 Summit Bali Dampak Positif Ekonomi Nasional Meningkatkan Ekonomi Komunitas Hotel Lokal, Satu Dampak Positif Delegasi Perwakilan Dampak",pegang   summit bal dampak positif ekonomi nasional tingkat ekonomi komunitas hotel lokal dampak positif delegasi wakil dampak,positive
fikri_rasyid33,2023-09-12T23:27:57Z,Angkatan Laut Indonesia dikerahkan 12 kapal perang aman G20 Bali Jambi Dukungan G20 G20Indonesia RecoverTheRecoverstronger G20Indonesia2022 Groupoftwentyindonesia,angkat laut indonesia kerah  kapal perang aman   bal jambi dukung     recovertherecoverstronger       groupoftwentyindonesia,positive
mwlorg_id,2023-09-15T09:38:24Z,bertemu disaksikan pemilihan ligamuslimdunia berpartisipasi KTT agama R20 pertama kali menjadi kelompok kerja partisipatif G20 KTT 2 3 3 Bali Indonesia Pemimpin Partisipasi Dialog Agama Intelektual,temu saksi pilih ligamuslimdunia partisipasi k agama   kelompok partisipatif   k    bal indonesia pimpin partisipasi dialog agama intelektual,positive
DamaiSulbar,2023-09-18T01:01:37Z,Ekonomi Indonesia di antara Negara -negara Anggota Non -20 KTT Indonesia Bali KTT DAMAI LAWANTERORISME TANGKALRADIKalisme Merdeka Pancasilardi Nkrihargamati Malaqbi Melletediangangan Manakarra Sulbarinfo Sulbarmoderat,ekonomi indonesia negara negara anggota non  k indonesia bal k damai lawanterorisme tangkalradikalisme merdeka pancasilardi nkrihargamati malaqbi melletediangangan manakarra sulbarinfo sulbarmoderat,neutral
SerikatNewscom,2023-09-17T10:15:52Z,Ready Succeed G20 Summit PLN Strategi Meningkatkan Keandalan Listrik Bali,ready succeed   summit pln strategi tingkat andal listrik bal,positive
tauberitamedia,2023-09-18T08:27:42Z,"Presiden Jokowi Meninjau Lokasi Nomor Mendukung KTT G20 Bali Jokowi, Hampir Siap",presiden jokowi tinjau lokasi nomor dukung k   bal jokowi,positive
sherlynlyn_,2023-09-13T08:14:03Z,Harus Memperkuat G20 Sektor Perdagangan KTT Bali Sukses Safe G20Indonesia Recovertogetherrecoverstronar G20Indonesia2022 Groupoftwentyindonesia,kuat   sektor dagang k bal sukses safe   recovertogetherrecoverstronar       groupoftwentyindonesia,positive
KementerianLHK,2023-09-18T00:17:09Z,Teman Hijau Presiden Republik Indonesia Menemani Menteri Menteri Luar Negeri PUPR Menteri LHK Meninjau Tahura Ngurah Rai Rai Bali Hutan Taman Satu Tempat Seri G20 Bali KTT 2022 Kamis 06 10 2022,teman hijau presiden republik indonesia tani menteri menteri negeri pupr menteri lhk tinjau tahura ngurah rai rai bal hutan taman seri   bal k     kamis      ,negative
IxNdheso,2023-09-13T10:01:25Z,Formulir Laporan Akhir Masih Membahas Empat Putaran Sous Sherpa Field Activities Activities Content Content.,formulir lapor bahas putar sous sherpa field activities activities content content,neutral
DamaiSulbar,2023-09-17T06:12:52Z,Harus terus membangun nilai keragaman toleransi persatuan Indonesia Bali KTT damai lawanterorisme tangkalradicalism Merdeka pancasilardi nkrihargamati malaqbi melletediangang manakarra sulbarinfo sulbarmoderat polewalimandar Majenene MajeneAn,bangun nilai ragam toleransi satu indonesia bal k damai lawanterorisme tangkalradicalism merdeka pancasilardi nkrihargamati malaqbi melletediangang manakarra sulbarinfo sulbarmoderat polewalimandar majenene majenean,positive
Zyanpatra,2023-09-13T10:19:36Z,Perintah Luhut Pandjaitan Bali dengan tegas mengundang pengemudi lokal yang melibatkan G20 Summit,perintah luhut pandjaitan bal undang kemudi lokal libat   summit,negative
DamaiSulbar,2023-09-19T04:11:09Z,Guru agama memainkan peran memberikan pelajaran Islam Rahmatan Lil Alamin Indonesia Bali Summit G20 DAMAI LAWANTERORISME Tangkalradikalisme Merdeka Pancasilardi NkriHargamati Malaqbi Mellletedongang Manakarra Sulbarnyfo Sulbalimoderat,guru agama main peran ajar islam rahmat lil alamin indonesia bal summit   damai lawanterorisme tangkalradikalisme merdeka pancasilardi nkrihargamati malaqbi mellletedongang manakarra sulbarnyfo sulbalimoderat,neutral
GueTionghoa,2023-09-13T05:40:10Z,Pembukaan WCCE ke -3 Kamis 6 Oktober 2022 Presiden Meninjau Infrastruktur Jalan Konstruksi Nusa Dua Area Badung Badung Provinsi Bali Provinsi Lulus Para Pemimpin Dunia menghadiri KTT G20 November,buka wcce  kamis  oktober     presiden tinjau infrastruktur jalan konstruksi nusa area badung badung provinsi bal provinsi lulus pimpin dunia hadir k   november,neutral
DamaiSulbar,2023-09-15T12:57:44Z,Ekonomi Indonesia di antara Negara -negara Anggota Non -20 KTT Indonesia Bali KTT DAMAI LAWANTERORISME TANGKALRADIKalisme Merdeka Pancasilardi Nkrihargamati Malaqbi Melletediangangan Manakarra Sulbarinfo Sulbarmoderat,ekonomi indonesia negara negara anggota non  k indonesia bal k damai lawanterorisme tangkalradikalisme merdeka pancasilardi nkrihargamati malaqbi melletediangangan manakarra sulbarinfo sulbarmoderat,neutral
ber2dulu,2023-09-16T00:49:23Z,Persiapan G20 Summit Sandiaga Uno Paspor Valid 10 Tahun Akses Internasional Bali Dibuka,siap   summit sandiaga uno paspor valid  akses internasional bal buka,neutral
DamaiSulbar,2023-09-13T10:14:48Z,Prinsip Agama Mengajarkan Kebaikan Indonesia Bali KTT Damai Lawanterorisme Tangkalradicalism Merdeka Pancasilardi Nkrihargamati Malaqbi Melletediatonganang Manakarra Sulbarinfo Sulbarmoderat Polewalim Majene MamuJu MamuJu Mengahu MamuJu Mengahu MamuJu Mengahu Sulbarmoderat Majene Majene MamuJu MamuJu Mengahu MamuJu Mengahu Sulbalim Polewalim Majene MamuJu MamuJu Mengahu MamuJu Mengahu Sulbalim Majene Majene MamuJu MamuJu Mengahju,prinsip agama ajar baik indonesia bal k damai lawanterorisme tangkalradicalism merdeka pancasilardi nkrihargamati malaqbi melletediatonganang manakarra sulbarinfo sulbarmoderat polewalim majene mamuju mamuju mengahu mamuju mengahu mamuju mengahu sulbarmoderat majene majene mamuju mamuju mengahu mamuju mengahu sulbalim polewalim majene mamuju mamuju mengahu mamuju mengahu sulbalim majene majene mamuju mamuju mengahju,positive
merdekadotcom,2023-09-18T02:37:09Z,Departemen KTT G20 Kementerian KTT Memperkuat Rabies Control Bali,departemen k   menteri k kuat rabies control bal,neutral
DamaiSulbar,2023-09-19T17:36:47Z,siapa pun yang kemudian menjadi kandidat presiden kandidat presiden 2024 Pemilihan harus dapat menegakkan integritas persatuan negara Indonesia Indonesia Bali KTT damai Tangkalradicikisme Merdeka pancasilardan Nkrihargamati Negara Malaqbi,kandidat presiden kandidat presiden     pilih tegak integritas satu negara indonesia indonesia bal k damai tangkalradicikisme merdeka pancasilardan nkrihargamati negara malaqbi,positive
santakalsel1,2023-09-13T21:50:49Z,Menparekraf Menyebutkan hotel penerbangan Bali Ready G20 Summit,menparekraf hotel terbang bal ready   summit,positive
sadidawoaini,2023-09-13T02:23:26Z,Tinjau G20 Summit Venue Bali Wakil Presiden Berharap Layanan Perfect G20Indonesia RecoverTogerCoverTrger G20Indonesia2022 Delegasi Groupoftwentyindonesia,tinjau   summit venue bal wakil presiden harap layan perfect   recovertogercovertrger       delegasi groupoftwentyindonesia,positive
KemensetnegRI,2023-09-15T16:32:57Z,"5 Pastikan Kesiapan Bali Presiden Lokasi Tinjauan Presiden G20 Pertemuan Presiden Juga Pastikan Agenda Rinci Agenda G20 KTT Menutup Pertemuan Internasional Lainnya, yaitu KTT APEC ASEAN", pasti kesiap bal presiden lokasi tinjau presiden   temu presiden pasti agenda rinci agenda   k tutup temu internasional k apec asean,positive
Kotakmi1,2023-09-16T07:02:07Z,POLDA BALI Undang Komunitas Melindungi Keamanan Pesanan Umum Depan G20 Summit News Opsi,polda bal undang komunitas lindung aman pesan   summit news opsi,neutral
anastasyameira1,2023-09-19T06:14:53Z,Pemerintah pasti hotel bali siap sambut west nusa tenggara g20indonesia recoverthercovertronger g20indonesia2022 groupoftwentyindonesia,perintah hotel bal sambut west nusa tenggara   recoverthercovertronger       groupoftwentyindonesia,positive
NoviRoose,2023-09-12T23:55:09Z,Pemerintah Indonesia terus menyelesaikan persiapan G20 Summit Bali Economic.,perintah indonesia selesai siap   summit bal economic,positive
jpnncom,2023-09-19T04:59:22Z,AHM Diberikan Lusinan Honda PCX Unit Listrik Badan Transportasi Badan Transportasi Kendaraan Operasional G20 KTT HONDAPCXELECTRIC,ahm lusin honda pcx unit listrik badan transportasi badan transportasi kendara operasional   k hondapcxelectric,neutral
detikcom_bali,2023-09-13T00:06:53Z,BMKG mengantisipasi besarnya ancaman 8 5 gempa bumi di depan G20 Bali Summit,bmkg antisipasi besar ancam   gempa bumi   bal summit,neutral
perpusnas1,2023-09-13T06:51:05Z,Sahabatperpusnas Pemerintah Menyediakan Layanan Kesehatan G20 Summit Bali November Depan Berbagai Fasilitas Kesehatan Disiapkan Hotel Utama G20 KTT juga Hotel Delegasi Tinggal G20 Perpustakaan Nasional Indonesia,sahabatapierpusnas perintah sedia layan sehat   summit bal november fasilitas sehat siap hotel utama   k hotel delegasi tinggal   pustaka nasional indonesia,positive
RokhanaSti,2023-09-15T19:09:47Z,"Meninjau Infrastruktur Jalan Pemimpin yang Diperbaiki G20 Negara Bagian, Presiden Ulasan Tahura Ngurah Rai Bali One Places Seri G20 Bali KTT 2022",tinjau infrastruktur jalan pimpin baik   negara presiden ulas tahura ngurah rai bal one places seri   bal k    ,neutral
jokowipejuangID,2023-09-13T04:35:00Z,Pemerintah Memastikan Hotel Bali Siap Selamat Datang G20 KTT Awal Hotel Hotel Tersebar Nusa Dua Beberapa daerah juga siap menyambut G20 Summit siap berhasil Jepang mandala Krida G20 Pintu KTT 13 Jokowipresidenku JokowihiBat,perintah hotel bal selamat   k hotel hotel sebar nusa daerah sambut   summit hasil jepang mandala krida   pintu k  jokowipresidenku jokowihibat,positive
plnuidbali,2023-09-19T11:27:43Z,Electrizen PLN Memastikan Kesiapan 66 Stasiun Pengisian Kendaraan Umum Mendukung Operasi Kendaraan Listrik Digunakan Puncak G20 Summit Bali Pln SPKlu Electrifiedg20 ELEASHINGINERGYDBEYOND PLNIKINDINDONESIA,electrizen pln kesiap  stasiun isi kendara dukung operasi kendara listrik puncak   summit bal pln spklu   eleashinginergydbeyond plnikindindonesia,positive
DamaiSulbar,2023-09-13T23:21:14Z,Guru agama memainkan peran memberikan pelajaran Islam Rahmatan Lil Alamin Indonesia Bali Summit G20 DAMAI LAWANTERORISME Tangkalradikalisme Merdeka Pancasilardi NkriHargamati Malaqbi Mellletedongang Manakarra Sulbarnyfo Sulbalimoderat,guru agama main peran ajar islam rahmat lil alamin indonesia bal summit   damai lawanterorisme tangkalradikalisme merdeka pancasilardi nkrihargamati malaqbi mellletedongang manakarra sulbarnyfo sulbalimoderat,neutral
BentangImaji,2023-09-16T07:39:55Z,Pertemuan juga membahas kesiapan Bali detail sumur sesi waktu G20 Summit Menurut Airlangga Indonesia Mengharapkan Hasil Keseluruhan Diskusi G20 Pemimpin dapat meringkas sederhana 34 paragraf,temu bahas kesiap bal detail sumur sesi   summit airlangga indonesia harap hasil diskusi   pimpin ringkas sederhana  paragraf,neutral
Rosecat27412184,2023-09-20T00:45:42Z,Departemen KTT G20 Kementerian KTT Memperkuat Rabies Control Step Bali Build Tegeri,departemen k   menteri k kuat rabies control step bal build tegeri,neutral
DamaiSulbar,2023-09-19T12:58:36Z,Islam Orang yang Berkualitas Mampu Teknologi Sains Master Indonesia Bali Summit Peami Lawanterorisme Tangkalradikalisme Merdeka Pancasilardasnas Nkrihargamati Malaqbi Melletediangang Manakarra Sulbarinfo Sulbarmoderat,islam kualitas teknologi sains master indonesia bal summit peami lawanterorisme tangkalradikalisme merdeka pancasilardasnas nkrihargamati malaqbi melletediangang manakarra sulbarinfo sulbarmoderat,positive
Johnss___,2023-09-16T09:59:21Z,Keamanan Bali G20 Summit Series Polda Bali Mempersiapkan Personalia Safeguard Series G20 KTT termasuk ttiwg tiimm nusa dua bali kawalg20 meningkatkan ekonomi,aman bal   summit series polda bal personalia safesayard series   k ttiwg tiimm nusa bal   tingkat ekonomi,neutral
DiskominfoPWK,2023-09-18T04:12:31Z,Operasi Non -Stop 7 Hari 24 Jam Telekomunikasi Secara Khusus Mempersiapkan Pusat Operasi Jaringan Mini Nusa Dua Bali Operasikan Non -Stop Mulai 1 November 2022 Diskominfopurwakarta Purwakarta Khusus G20 KTTG20 KTTG20BALI KTTG20november,operasi non stop   jam telekomunikasi pusat operasi jaring mini nusa bal operasi non stop  november     diskominfopurwakarta purwakarta        ,positive
jurnascom,2023-09-15T16:57:47Z,Kontrol Pertanian Kementerian Rabies Bali Ahead G20 Summit,kontrol tani menteri rabies bal ahead   summit,neutral
ElcapitanoTotti,2023-09-13T09:00:44Z,Presiden Ulasan Nomor Fasilitas Kesiapan Dukungan G20 Bali 2022 KTT Jokowi Harapan Persiapan Dibawa G20 Bali 2022 KTT berjalan dengan lancar,presiden ulas nomor fasilitas kesiap dukung   bal     k jokowi harap siap bawa   bal     k jalan lancar,positive
Johnss___,2023-09-13T08:30:31Z,"Kawalg20 Meningkatkan Ekonomi Polisi Regional Bali, 11 Satuan Tugas Tugas Tugas Tugas Mengamankan Lokasi Perjalanan Lapangan G20 Penambahan Delegasi KTT, Polisi Bali juga Mempersiapkan Sistem Zonasi Pola Keamanan",  tingkat ekonomi polisi regional bal  satu tugas tugas tugas tugas aman lokasi jalan lapang   tambah delegasi k polisi bal sistem zonasi pola aman,positive
sandiuno,2023-09-14T18:11:10Z,Hari ini pergi Bali menghadiri beberapa agenda termasuk mengadakan rapat pertemuan koordinasi G20 Summit Together Peak Meeting diadakan 15 November 1622,pergi bal hadir agenda ada rapat temu koordinasi   summit together peak meeting ada  november    ,neutral
diego_mines,2023-09-15T23:53:58Z,Summit G20 Bali G20Indonesia Recovertogetherrecoverstronger G20Indonesia2022 Groupoftwentyindonesia Sulawesi Utara,summit   bal   recovertogetherrecoverstronger       groupoftwentyindonesia sulawesi utara,neutral
DamaiSulbar,2023-09-19T15:27:56Z,Prinsip Agama Mengajarkan Kebaikan Indonesia Bali KTT Damai Lawanterorisme Tangkalradicalism Merdeka Pancasilardi Nkrihargamati Malaqbi Melletediatonganang Manakarra Sulbarinfo Sulbarmoderat Polewalim Majene MamuJu MamuJu Mengahu MamuJu Mengahu MamuJu Mengahu Sulbarmoderat Majene Majene MamuJu MamuJu Mengahu MamuJu Mengahu Sulbalim Polewalim Majene MamuJu MamuJu Mengahu MamuJu Mengahu Sulbalim Majene Majene MamuJu MamuJu Mengahju,prinsip agama ajar baik indonesia bal k damai lawanterorisme tangkalradicalism merdeka pancasilardi nkrihargamati malaqbi melletediatonganang manakarra sulbarinfo sulbarmoderat polewalim majene mamuju mamuju mengahu mamuju mengahu mamuju mengahu sulbarmoderat majene majene mamuju mamuju mengahu mamuju mengahu sulbalim polewalim majene mamuju mamuju mengahu mamuju mengahu sulbalim majene majene mamuju mamuju mengahju,positive
detikTravel,2023-09-15T04:32:40Z,G20 Bali KTT yang ramai wisatawan umum menyarankan hotel hotel menginap,  bal k ramai wisatawan saran hotel hotel inap,neutral
jenniferjoytagh,2023-09-13T10:43:47Z,Jaringan telekomunikasi Indonesia kesiapan wajah Summit G20 Bali Indonesia Indonesia Recovertogetherrecoverstronar G2022 Groupoftwentyindonesia,jaring telekomunikasi indonesia kesiap wajah summit   bal indonesia indonesia recovertogetherrecoverstronar     groupoftwentyindonesia,neutral
DamaiSulbar,2023-09-13T01:25:02Z,Agama Hadir Kebahagiaan Keselamatan Kesejahteraan Orang Indonesia Bali KTT G20 DAMAI LAWANTERORISME,agama hadir bahagia selamat sejahtera indonesia bal k   damai lawanterorisme,positive
milky_ultra,2023-09-12T22:47:06Z,kesiapan jaringan telekomunikasi Indonesia wajah G20 Bali Medan G20Indonesia RecoverTheRecoverstronger G20Indonesia2022 Groupoftwentyindonesia,kesiap jaring telekomunikasi indonesia wajah   bal medan   recovertherecoverstronger       groupoftwentyindonesia,neutral
nujlaaaa,2023-09-15T03:24:34Z,"Mari kita mendukung implementasi yang berhasil, KTT G20 Indonesia diadakan Bali Popper Bali",mari dukung implementasi hasil k   indonesia ada bal popper bal,positive
jorz_gie,2023-09-17T07:26:27Z,Pemerintah Sure Hotel Bali Siap Selamat Datang Maluku Utara G20Indonesia G20Indonesia RecoverTheRecoverstronar G2022 Groupoftwentyindonesia,perintah sure hotel bal selamat malu utara     recovertherecoverstronar     groupoftwentyindonesia,positive
Baliportal_news,2023-09-16T04:03:03Z,Siap Succed G20 Summit PLN Target Relocation Relocation Grati Pltg Bali Lengkap Akhir Oktober Baliportalnews Bumn Kttg20 Daya Listrik PLN PLTG,succed   summit pln target relocation relocation grati pltg bal lengkap oktober baliportalnews bumn   daya listrik pln pltg,positive
Rosanna07950119,2023-09-13T15:31:50Z,Angkatan Laut Indonesia dikerahkan 12 kapal perang aman G20 Bali Pembaruan Papua Papua Pemimpin Tradisional Mendukung Implementasi G20 Summit Indonesia G20indonesia Recovertogetherrecoverstronger G20Indonesia2022 Groupoftwentyindonesia,angkat laut indonesia kerah  kapal perang aman   bal baru papua papua pimpin tradisional dukung implementasi   summit indonesia   recovertogetherrecoverstronger       groupoftwentyindonesia,positive
jpnncom,2023-09-16T07:57:08Z,Perintah Beritabali Luhut Pandjaitan Bali dengan tegas mengundang pengemudi lokal yang terlibat G20 Luhutbinsarpandjaitan Summit Driver KTTG20 Pengemudi,perintah beritabali luhut pandjaitan bal undang kemudi lokal libat   luhutbinsarpandjaitan summit driver   kemudi,negative
InfoPublikIP,2023-09-15T12:12:20Z,Konferensi KTT G20 KTT High Level berlangsung Bali 15 November 2022 Berlanjut Meningkatkan Kualitas Acara Lokasi Telekomunikasi Telekomunikasi,konferensi k   k high level bal  november     lanjut tingkat kualitas acara lokasi telekomunikasi telekomunikasi,positive
kabarlensa2021,2023-09-18T13:33:22Z,Peran Polisi Bali Hubungan Masyarakat Implementasi Informasi Tombak Presisi KTT G20,peran polisi bal hubung masayarakat implementasi informasi tombak presisi k  ,neutral
jpnncom,2023-09-15T23:41:40Z,Sanur Sea Port Bali hampir selesai di depan KTT G20 melihat penampilan udara wow Pelabuhanur,sanur sea port bal selesai k   tampil udara wow pelabuhanur,positive
antaranews,2023-09-15T06:58:38Z,Korlantas Polri Siagakan Personel Penjaga VVIP G20 Summit Bali 15 November 1622 Penjaga Konferensi Depan Menerima Pelatihan Polisi Nasional Mengenai Operasi Kendaraan Listrik Di sepanjang Halaman Infografis,korlantas polri siaga personel jaga vvip   summit bal  november     jaga konferensi terima latih polisi nasional operasi kendara listrik halaman infografis,neutral
NewsCendana,2023-09-13T16:06:57Z,Peran Polisi Bali Hubungan Masyarakat Implementasi Informasi Tombak Presisi KTT G20,peran polisi bal hubung masayarakat implementasi informasi tombak presisi k  ,neutral
saf45817671,2023-09-13T02:57:53Z,"Selain itu, rapat juga membahas rancangan pemimpin yang diadopsi Kepala Kepala Negara Bagian Pemerintah November 2022 Summit Bali, melakukan masalah upaya yang dibahas jalur Sherpa yang disepakati",rapat bahas rancang pimpin adopsi kepala kepala negara perintah november     summit bal upaya bahas jalur sherpa pakat,neutral
Senja_Merah1,2023-09-13T21:38:48Z,Presiden Returned Rapat Finalisasi Persiapan G20 Summit Bali November 2022,presiden returned rapat final siap   summit bal november    ,neutral
faktualid_com,2023-09-19T13:02:29Z,Sandiaga Uno Persiapan Bali Welcome 50 00 Delegasi Guil G20 G20 Hampir mencapai titik kulminasi Sandiagauno G20Indonesia,sandiaga uno siap bal welcome   delegasi guil     capai titik kulminasi sandiagauno  ,positive
Clstamtra,2023-09-13T04:31:18Z,Sandiaga mempersiapkan 23 hotel g20 delegasi puncak berita terbaru,sandiaga  hotel   delegasi puncak berita baru,positive
sandiuno,2023-09-13T05:32:38Z,"Kunjungan Kerja Kemarin Bali, Diadakan Pertemuan Koordinasi Bersama Finalisasi Mempersiapkan Implementasi Teknik G20 Program Pasangan KTT 15 November 1622 Dirancang Khusus Level Negara Bagian 24 Level",kunjung kemarin bal ada temu koordinasi final implementasi teknik   program pasang k  november     rancang level negara  level,neutral
PLNuntukIDN,2023-09-18T04:02:43Z,Electrizen PLN Memastikan Kesiapan 66 Stasiun Pengisian Kendaraan Umum Mendukung Operasi Kendaraan Listrik Digunakan Puncak G20 Summit Bali Pln SPKlu Electrifiedg20 ELEASHINGINERGYDBEYOND PLNIKINDINDONESIA,electrizen pln kesiap  stasiun isi kendara dukung operasi kendara listrik puncak   summit bal pln spklu   eleashinginergydbeyond plnikindindonesia,positive
Marquetalove,2023-09-18T08:30:25Z,JOKOWI Lanjutkan menyelesaikan persiapan Seri Puncak Puncak G20 Konferensi Summit Bali Economitap.,jokowi lanjut selesai siap seri puncak puncak   konferensi summit bal economitap,neutral
posmetro_padang,2023-09-16T05:20:42Z,siap succed g20 pln summit penargetan relokasi pltg grati bali selesai akhir Oktober,succed   pln summit target relokasi pltg grati bal selesai oktober,positive
dewata_news,2023-09-19T14:08:32Z,"Presiden Joko Widodo meninjau nomor kesiapan fasilitas fasilitas G20 Bali 2022 Summit. Presiden berharap persiapan membawa G20 Bali 2022 Summit, berjalan dengan lancar",presiden joko widodo tinjau nomor kesiap fasilitas fasilitas   bal     summit presiden harap siap bawa   bal     summit jalan lancar,positive
TremmorB,2023-09-16T15:44:53Z,Pemerintah Mengantisipasi Gangguan Telekomunikasi Jaringan G20 Summit Bali Succed,perintah antisipasi ganggu telekomunikasi jaring   summit bal succed,neutral
